关于软件,#genre#
特设[防尴尬],http://117.148.129.9/PLTV/88888888/224/3221232689/index.m3u8?zzhongd
加群寻密,https://fml0530v6.zaocdn.cn/bdcdnct.inter.71edge.com/videos/v1ts/20220802/47/08/39baf4ac51b7d5cfc5c4946a942b08e8.ts?key=0fe50f528bbb4a09becb327241f39d8fc&dis_k=3dce123eddfaf63c40a842d7e62923c5&dis_t=1659449612&dis_dz=CT-NingXia_YinChuan&dis_st=154&src=iqiyi.com&dis_hit=0&dis_tag=00000000&uuid=0a1300e7-62e9310c-2f3&qd_k=1c0eabe1b4e003e9d58ed1e0f5f02c66&mss=1&qyid=c4b9408c801154047d7fb46f81859ac0&qd_uid=3026706139033536&pv=0.1&qd_tm=1659449611741&qd_src=01010031010000000000&cross-domain=1&start=397312&bid=300&qd_sc=a2aaad9a3900891173f82dbbcdccba45&contentlength=1311044&qd_vipres=0&qd_p=240e_31f_23c8_4d00_205f_45a2_5d21_ac8b&qd_tvid=2230522411675600&ssl=1&qd_index=vod&qd_vip=0&sd=0&stauto=0&ac_qd_sc=a2aaad9a3900891173f82dbbcdccba45&end=1708356&cphc=arta&ori=pcw1&num=1659449615638

测试专区,#genre#
凤凰中文,http://playtv-live.ifeng.com/live/06OLEGEGM4G.m3u8#http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226547/1.m3u8#http://iptv.tvfix.org/hls/fhzw.m3u8
凤凰资讯,http://playtv-live.ifeng.com/live/06OLEEWQKN4.m3u8#http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226546/1.m3u8#http://iptv.tvfix.org/hls/fhzx.m3u8
大爱一,https://pulltv1.wanfudaluye.com/live/tv1.m3u8
TVBS新闻台,rtmp://59.124.75.150/sat/tv551
SBS,http://1.245.74.5:1935/live/tv/.m3u8
TBS,https://tbs1.mov3.co/hls/tbs.m3u8
三明新闻综合,http://stream.smntv.cn/smtv1/sd/live.m3u8
上虞1新闻综合,http://l.cztvcloud.com/channels/lantian/SXshangyu1/720p.m3u8
东至新闻综合,http://223.247.33.124:1935/live/zonghe/playlist.m3u8
浙江新闻,http://hw-m-l.cztv.com/channels/lantian/channel07/360p.m3u8
浙江新闻,http://hw-m-l.cztv.com/channels/lantian/channel007/1080p.m3u8
浙江新闻,http://hw-m-l.cztv.com/channels/lantian/channel07/720p.m3u8
武进新闻频道,http://live.wjyanghu.com/live/CH1.m3u8
江津新闻综合,http://222.179.155.21:1935/ch1.m3u8
南京新闻综合,http://live.nbs.cn/channels/njtv/xwzh/m3u8:500k/live.m3u8
南京新闻综合,http://hls.nntv.cn/nnlive/NNTV_NEWS_A.m3u8

彩虹专区,#genre#
水島にな,https://d2gwumourdj5u6.cloudfront.net/20180930/hd_caribbeancompr-082517_001/index.m3u8
愛乃まほろ,https://d2gwumourdj5u6.cloudfront.net/20180930/hd_caribbeancompr-081817_001/index.m3u8
華城まや,https://d2gwumourdj5u6.cloudfront.net/20180930/hd_caribbeancompr-081117_002/index.m3u8
さくらみゆき,https://d2gwumourdj5u6.cloudfront.net/20180930/hd_caribbeancompr-072817_001/index.m3u8
宅男初體驗,https://v10.ripic.xyz/5ebe87fb893e3dcf5305a3d2/video.m3u8
車震台中篇,https://je40u.cdnedge.live/file/avple-images/hls/615b142d62da73610588de51/playlist.m3u8
Annabel Redd,https://video2.51daao.com/btt1/2021/08/20210811/LtbYLIYK/index.m3u8
Skye Blue,https://video2.51daao.com/btt1/2021/09/20210914/Ape0g9kr/index.m3u8
光棍節特獻,https://video2.51daao.com/btt1/2020/12/20201203/ttD9xC3i/index.m3u8
喜歡含棒棒糖的表妹,https://video2.51daao.com/btt1/2020/12/20201204/4GoxGRAS/index.m3u8
愛情迷魂計,https://video2.51daao.com/btt1/2021/01/20210102/7aYTRmyx/index.m3u8
痴漢尾隨強制,https://video2.51daao.com/btt1/2021/01/20210102/8B1wCf8c/index.m3u8
泄欲麻將館,https://video2.51daao.com/btt1/2021/01/20210102/htL0KQNW/index.m3u8
sex videos,http://s1.iptv-pla.net:7040/get.php?username=mustapha7&password=dmruisst&type=m3u
Alyssa Reece,https://lajiao-bo.com/20190503/2pl9Vp7L/index.m3u8
Karry Slo,https://lajiao-bo.com/20190503/W7hVQpTQ/index.m3u8
alexis,https://lajiao-bo.com/20190504/kR6PlWeO/index.m3u8
Subil Arch,https://video2.51daao.com/btt1/2021/08/20210821/TpG3ROLG/index.m3u8
美容院女性,https://d3b4hd2s3d140t.cloudfront.net/putong/20200227/pxIXV6VX/index.m3u8
私密养生按摩馆,https://d3b4hd2s3d140t.cloudfront.net/jingpin/20210717/vgiMyK39/index.m3u8
性感按摩师,https://fc.imgscloud.com/e/cmmcpqeiqt/cmmcpqeiqt.m3u8
加班中的密室,https://fc.imgscloud.com/b/zwtbcuiplp/zwtbcuiplp.m3u8
越按越舒服,https://d1t7npgyc5r5ob.cloudfront.net/20200523/ExpdRMwK/index.m3u8
暨品嚐女生貓貓搞砸通過角質年長的傢伙,http://12204.vod.redtraffic.xyz/ph5ab212155cc0c/play.m3u8
Star AJ CreamPie彙編,http://13216.vod.redtraffic.xyz/ph59d44fd2d8fbf/play.m3u8 
Fhuta-俄羅斯女兒向爸爸的朋友學習,http://12204.vod.redtraffic.xyz/ph57c6e83db8a63/play.m3u8 
MOM金發碧眼的辦公室老闆很高興她在辦公室初中時被丈夫欺騙了,http://60106.vod.redtraffic.xyz/ph56b71cb238bce/play.m3u8
這是我的聚會，http://12156.vod.adultiptv.net/ph55de7a932b9c7/play.m3u8
 繼妹塞拉（Sierra Nicole）在哥哥的洗衣機頂部獲得奶油派！,http://10238.vod.redtraffic.xyz/ph5a5cf135d7642/play.m3u8
健身,https://t11.cdn2020.com:12336/video/m3u8/2021/09/25/7bd55242/index.m3u8
家庭教师-雨晨,https://t11.cdn2020.com:12336/video/m3u8/2021/09/25/39cdc1a2/index.m3u8
HND-513 河南実里,http://videocdnbaidu.rhsj520.com/2/rnmy2/20181202/7/HND-513/index.m3u8
DXMG-027 波多野結衣,http://videocdnbaidu.rhsj520.com/rbny/20180915/bdyjy/DXMG-027/index.m3u8
PPPD-504 JULIA,http://videocdnbaidu.rhsj520.com/rbny/20180806/jx/PPPD-504/index.m3u8
WANZ-297 麻倉憂,http://videocdnbaidu.rhsj520.com/rbny/20180807/mcy/WANZ-297/index.m3u8
RCT-505,http://videocdnbaidu.rhsj520.com/rbny/20180821/lmyly/RCT-505/index.m3u8
MIDE-334 神咲詩織,http://videocdnbaidu.rhsj520.com/rbny/20181005/sgsz/MIDE-334/index.m3u8
PPPD-304 JULIA,http://videocdnbaidu.rhsj520.com/rbny/20180806/jx/PPPD-304/index.m3u8
WANZ-135 桜井あゆ,http://videocdnbaidu.rhsj520.com/rbny/20181005/yjb/WANZ-135/index.m3u8
DVDMS-329-2,http://videocdnbaidu.rhsj520.com/2/rnmy2/20181202/3/dvdms-329-2/index.m3u8
HEYZO-0444 愛乃なみ,http://video1.rhsj520.com:8091/nyrm3/heyzo337/heyzo_hd_0444_full/1500kb/hls/index.m3u8
IPTD-535 松島かえで,http://videocdnbaidu.rhsj520.com/rbny/20180821/sdf/IPTD-535/index.m3u8
