吾爱精选,#genre#
吾爱学堂,http://52bsj.vip:81/api/v3/file/get/1580/%E5%90%BE%E7%88%B1%E5%AD%A6%E5%A0%82.mp4?sign=vn547ZHoTQYfmJ4KV7bY07sPMWVVihRuCGS6sYEnT-0%3D%3A0
Pluto本地教程,http://52bsj.vip:81/api/v3/file/get/13840/%E6%AC%A1%E6%97%B6%E4%BB%A3PlutoPlayer%E7%81%AB%E7%88%86%E5%86%85%E6%B5%8B%E4%B8%AD.mp4?sign=atYSfVJUULxjjaB2TtEOEWTNw2WSLhUc7csjpxJqM9o%3D%3A0

串烧[1280*720],https://vd4.bdstatic.com/mda-mkn4iq79ihtufbc1/sc/cae_h264/1637639849265611965/mda-mkn4iq79ihtufbc1.mp4
舞曲,https://15799848.s21v.faiusr.com/58/ABUIABA6GAAgr-2n9AUoqsakNg.mp4
王者荣耀,https://live.52sf.ga/huya/kpl

吾爱露营,#genre#
小姐姐,http://52bsj.vip:81/api/v3/file/get/1120/%E5%90%BE%E7%88%B1%E9%9C%B2%E8%90%A51.mp4?sign=zSiYQXeqBCh1phPwzegZKexhcK6mdgLYKSRUTooA7-o%3D%3A0
小姐姐2,http://52bsj.vip:81/api/v3/file/get/13847/%E5%90%BE%E7%88%B1%E9%9C%B2%E8%90%A52.mp4?sign=ZVjO0tVBHkyJvZ_vqgB1q2SbPRQVlbeKz8orD56WqGQ%3D%3A0






吾爱主机,#genre#




吾爱游戏,#genre#
王者荣耀赛事,https://live.52sf.ga/huya/kpl
张大仙,http://hlstct.douyucdn2.cn/dyliveflv1a/1863767rkpl_2000.m3u8?txSecret=175d6fc5cee0c5ead2da785d83f6be89&txTime=62ee652d&token=h5-douyu-0-1863767-d6b6b9b92749dd388f4aff362450ea75&did=14bf1752d3ec163ad44fd75500051631&origin=tct&vhost=play2
暴雪频道,https://live.52sf.ga/huya/blizzardgame1
ESLCSGO,https://live.52sf.ga/huya/eslcsgo
游戏风云,http://183.207.255.188/live/program/live/yxfyhd/4000000/mnf.m3u8
游戏风云[1920*1080],http://183.207.255.188/live/program/live/yxfyhd/4000000/mnf.m3u8
黑莓电竞[1920*1080],http://39.134.66.66/PLTV/88888888/224/3221225559/index.m3u8
黑莓电竞[1920*1080],http://39.134.65.179/PLTV/88888888/224/3221225559/index.m3u8
黑莓电竞[1920*1080],http://39.134.65.166/PLTV/88888888/224/3221225559/index.m3u8
黑莓电竞[1920*1080],http://39.134.65.173/PLTV/88888888/224/3221225559/index.m3u8
黑莓电竞[1920*1080],http://39.134.65.175/PLTV/88888888/224/3221225559/index.m3u8
黑莓电竞[1920*1080],http://39.134.65.162/PLTV/88888888/224/3221225559/index.m3u8
黑莓电竞[1920*1080],http://39.135.138.58:18890/PLTV/88888888/224/3221225653/index.m3u8
黑莓电竞[1920*1080],http://39.135.138.58:18890/PLTV/88888888/224/3221225749/index.m3u8
黑莓电竞[1920*1080],http://39.135.138.58:18890/PLTV/88888888/224/3221225750/index.m3u8
黑莓电竞[1920*1080],http://111.40.196.9/PLTV/88888888/224/3221225606/index.m3u8

吾爱动漫,#genre#
七龍珠改[960*720][960*720],https://epg.112114.xyz/huya/11601966
猫和老鼠[640*464][1024*576],https://epg.112114.xyz/huya/11352879
路飞[1920*1080],https://epg.112114.xyz/huya/16913382
蜡笔小新[960*736][960*736],https://epg.112114.xyz/huya/11352970
海绵宝宝[720*540][720*576],https://epg.112114.xyz/huya/11352919
中华小当家[640*432][640*432],https://epg.112114.xyz/huya/11342413
漫威宇宙电影[1280*544][1280*690],http://txtest-xp2p.p2p.huya.com/src/1448738325-1448738325-6222283726336819200-3048991600-10057-A-0-1.xs
哆啦A梦,http://106.53.212.251/daili/bili.php?id=1717236
哆啦A梦新版,http://106.53.212.251/daili/bili.php?id=12811814
中华小当家,http://106.53.212.251/daili/bili.php?id=655291
樱桃小丸子,http://106.53.212.251/daili/bili.php?id=11765640
蜡笔小新,http://106.53.212.251/daili/bili.php?id=11579951
猫和老鼠,http://106.53.212.251/daili/bili.php?id=22905626
猫和老鼠,http://121.51.14.14/tx.hls.huya.com/src/1423782038-1423782038-6115097289842229248-2847687532-10057-A-0-1.m3u8
